0.000	0.000	0.000	0.000	0.000	3.955	3.360	2.954	2.737	2.562	2.331	2.149	1.939	1.841	1.722	1.631	1.589	1.533	1.456	1.400	1.358	1.344	1.288	1.267	1.218	1.176	1.134	1.099	1.078	1.050	1.015	0.987	0.966	0.952	0.924	0.903	0.882	0.868	0.854	0.833	0.819
0.000	0.000	0.000	0.000	0.000	3.878	3.346	2.954	2.632	2.513	2.310	2.142	1.953	1.806	1.715	1.610	1.526	1.505	1.449	1.379	1.323	1.288	1.274	1.232	1.204	1.169	1.127	1.092	1.050	1.029	1.008	0.987	0.952	0.924	0.910	0.896	0.875	0.854	0.833	0.826	0.805
0.000	0.000	0.000	0.000	0.000	3.675	3.311	2.912	2.590	2.464	2.310	2.107	1.967	1.785	1.694	1.596	1.512	1.442	1.428	1.372	1.309	1.260	1.225	1.218	1.176	1.148	1.120	1.085	1.050	1.015	0.987	0.973	0.952	0.924	0.896	0.875	0.861	0.847	0.833	0.812	0.791
0.000	0.000	0.000	0.000	0.000	0.000	3.332	2.884	2.583	2.345	2.268	2.100	1.953	1.820	1.666	1.596	1.498	1.428	1.372	1.351	1.302	1.246	1.197	1.169	1.162	1.134	1.099	1.085	1.043	1.015	0.980	0.952	0.931	0.917	0.896	0.875	0.847	0.833	0.819	0.805	0.791
0.000	0.000	0.000	0.000	0.000	0.000	3.255	2.877	2.583	2.310	2.219	2.100	1.925	1.813	1.673	1.561	1.498	1.414	1.351	1.302	1.288	1.239	1.190	1.148	1.120	1.106	1.085	1.050	1.036	1.008	0.980	0.952	0.924	0.896	0.882	0.868	0.847	0.826	0.805	0.791	0.784
0.000	0.000	0.000	0.000	0.000	0.000	3.227	2.842	2.534	2.303	2.135	2.065	1.925	1.799	1.694	1.547	1.477	1.414	1.337	1.281	1.246	1.232	1.183	1.141	1.099	1.078	1.057	1.043	1.008	0.994	0.973	0.945	0.917	0.896	0.868	0.854	0.840	0.826	0.805	0.784	0.763
0.000	0.000	0.000	0.000	0.000	0.000	3.038	2.849	2.520	2.296	2.093	2.016	1.925	1.778	1.680	1.575	1.456	1.407	1.330	1.274	1.218	1.190	1.176	1.134	1.092	1.050	1.029	1.008	1.008	0.973	0.952	0.945	0.910	0.889	0.868	0.840	0.819	0.812	0.798	0.784	0.763
0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.835	2.520	2.282	2.072	1.960	1.897	1.778	1.659	1.575	1.463	1.379	1.330	1.260	1.211	1.162	1.141	1.127	1.085	1.050	1.008	0.994	0.973	0.966	0.945	0.917	0.910	0.889	0.861	0.840	0.819	0.798	0.784	0.777	0.763
0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.772	2.485	2.254	2.072	1.918	1.848	1.778	1.652	1.568	1.477	1.365	1.309	1.260	1.197	1.155	1.113	1.092	1.078	1.043	1.008	0.973	0.952	0.931	0.931	0.910	0.882	0.875	0.861	0.833	0.819	0.798	0.777	0.756	0.749
0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.744	2.492	2.240	2.065	1.883	1.813	1.750	1.652	1.547	1.477	1.393	1.295	1.253	1.197	1.141	1.106	1.064	1.050	1.036	1.001	0.973	0.938	0.924	0.896	0.896	0.882	0.861	0.847	0.833	0.812	0.791	0.777	0.756	0.735
